Energy (E),Reflectivity (R),Transmissivity (T)
-7.0,12.584778846594201,-11.584778846594201
-6.981636060100167,12.491326825724938,-11.491326825724938
-6.963272120200334,12.396840875951023,-11.396840875951023
-6.944908180300501,12.301395344293157,-11.301395344293157
-6.926544240400668,12.205063376064954,-11.205063376064954
-6.908180300500835,12.10791675766489,-11.10791675766489
-6.889816360601001,12.010025975033372,-11.010025975033372
-6.871452420701169,11.911460166878195,-10.911460166878195
-6.853088480801335,11.812287049367539,-10.812287049367539
-6.834724540901503,11.712572849160832,-10.712572849160832
-6.816360601001669,11.612382246081427,-10.612382246081427
-6.797996661101837,11.511778323693642,-10.511778323693642
-6.779632721202003,11.410822527107593,-10.410822527107593
-6.76126878130217,11.309574628333921,-10.309574628333921
-6.742904841402337,11.208092701235605,-10.208092701235605
-6.724540901502504,11.10643310881857,-10.10643310881857
-6.706176961602671,11.004650474873296,-10.004650474873296
-6.687813021702838,10.902797502683864,-9.902797502683864
-6.669449081803005,10.800924879691403,-9.800924879691403
-6.651085141903172,10.699081934768524,-9.699081934768524
-6.632721202003339,10.59731647601874,-9.59731647601874
-6.614357262103506,10.495674258845579,-9.495674258845579
-6.595993322203673,10.394199178181491,-9.394199178181491
-6.57762938230384,10.29293339508301,-9.29293339508301
-6.559265442404007,10.191917349334014,-9.191917349334014
-6.540901502504173,10.09118976815345,-9.09118976815345
-6.522537562604341,9.990787683602688,-8.990787683602688
-6.504173622704507,9.890746455206056,-8.890746455206056
-6.485809682804675,9.791099795960404,-8.791099795960404
-6.467445742904841,9.691879801337768,-8.691879801337768
-6.449081803005008,9.593116982274434,-8.593116982274434
-6.430717863105175,9.494840306487763,-8.494840306487763
-6.412353923205342,9.39707725338977,-8.39707725338977
-6.393989983305509,9.299853812191218,-8.299853812191218
-6.375626043405676,9.20319418672629,-8.20319418672629
-6.357262103505843,9.107121026489366,-8.107121026489366
-6.33889816360601,9.01165639116128,-8.01165639116128
-6.3205342237061775,8.916820909986905,-7.916820909986905
-6.302170283806344,8.822633567381187,-7.822633567381187
-6.283806343906511,8.729112074873095,-7.729112074873095
-6.265442404006678,8.63627295324387,-7.63627295324387
-6.247078464106845,8.544131551266661,-7.544131551266661
-6.228714524207012,8.452702075582698,-7.452702075582698
-6.210350584307179,8.361997626850597,-7.361997626850597
-6.191986644407345,8.272030237651476,-7.272030237651476
-6.173622704507513,8.182810910874123,-7.182810910874123
-6.155258764607679,8.094349658659947,-7.094349658659947
-6.136894824707847,8.006655543986398,-7.006655543986398
-6.118530884808013,7.919736733636813,-6.919736733636813
-6.10016694490818,7.833600574869768,-6.833600574869768
-6.081803005008347,7.748253537927143,-6.748253537927143
-6.063439065108514,7.663700664140253,-6.663700664140253
-6.045075125208681,7.579946457858132,-6.579946457858132
-6.026711185308848,7.496995700132565,-6.496995700132565
-6.008347245409015,7.414851887778832,-6.414851887778832
-5.989983305509182,7.333517586759657,-6.333517586759657
-5.9716193656093495,7.252994778790411,-6.252994778790411
-5.953255425709516,7.173284864512261,-6.173284864512261
-5.934891485809683,7.094388667933997,-6.094388667933997
-5.91652754590985,7.0163064581563575,-6.0163064581563575
-5.898163606010017,6.939037975457535,-5.939037975457535
-5.879799666110184,6.862582457868343,-5.862582457868343
-5.861435726210351,6.786938667477516,-5.786938667477516
-5.843071786310517,6.712104916868738,-5.712104916868738
-5.824707846410685,6.638079098944454,-5.638079098944454
-5.806343906510851,6.564858736249654,-5.564858736249654
-5.787979966611019,6.492441081219716,-5.492441081219716
-5.769616026711185,6.420822939066713,-5.420822939066713
-5.751252086811352,6.349999717869027,-5.349999717869027
-5.732888146911519,6.2799675544416695,-5.2799675544416695
-5.714524207011686,6.210723170264986,-5.210723170264986
-5.696160267111853,6.142261977908571,-5.142261977908571
-5.67779632721202,6.074579078408465,-5.074579078408465
-5.659432387312187,6.007669430843552,-5.007669430843552
-5.641068447412354,5.941527796770294,-4.941527796770294
-5.622704507512521,5.876148734155668,-4.876148734155668
-5.604340567612688,5.8115266081088865,-4.8115266081088865
-5.585976627712855,5.74765560446818,-4.74765560446818
-5.567612687813021,5.68452974354152,-4.68452974354152
-5.549248747913189,5.622142893595843,-4.622142893595843
-5.530884808013356,5.560488784569487,-4.560488784569487
