Energy (E),Reflectivity (R),Transmittance (T)
0.1,1.6203172340250145,-0.6203172340250145
0.2,1.6198195709110053,-0.6198195709110053
0.30000000000000004,1.6189873196929025,-0.6189873196929025
0.4,1.6178228744858367,-0.6178228744858367
0.5,1.6163069573050304,-0.6163069573050304
0.6,1.6144488542107862,-0.6144488542107862
0.7000000000000001,1.6122404154178478,-0.6122404154178478
0.8,1.609661789346785,-0.609661789346785
0.9,1.6067144286596062,-0.6067144286596062
1.0,1.6033820039343665,-0.6033820039343665
1.1,1.5996542150671555,-0.5996542150671555
1.2000000000000002,1.595512879698158,-0.5955128796981579
1.3000000000000003,1.5909397556567704,-0.5909397556567704
1.4000000000000001,1.5859216249631722,-0.5859216249631722
1.5000000000000002,1.5804303451107093,-0.5804303451107093
1.6,1.574441071360944,-0.574441071360944
1.7000000000000002,1.5679331822551148,-0.5679331822551148
1.8000000000000003,1.5608685770104411,-0.5608685770104411
1.9000000000000001,1.5532119484700908,-0.5532119484700908
2.0,1.5449326177105658,-0.5449326177105658
2.1,1.5359779504954998,-0.5359779504954998
2.2,1.5262970252985057,-0.5262970252985057
2.3000000000000003,1.5158458903134557,-0.5158458903134557
2.4000000000000004,1.5045485664458693,-0.5045485664458693
2.5000000000000004,1.492329946402539,-0.492329946402539
2.6,1.4791276311037767,-0.47912763110377665
2.7,1.4648262406638135,-0.4648262406638135
2.8000000000000003,1.449321911602484,-0.449321911602484
2.9000000000000004,1.43249009445011,-0.43249009445011
3.0000000000000004,1.4141779256659197,-0.4141779256659197
3.1,1.394276810367287,-0.3942768103672869
3.2,1.3723670364290106,-0.3723670364290106
3.3000000000000003,1.3483883985216134,-0.3483883985216134
3.4000000000000004,1.3219189993410494,-0.3219189993410494
3.5000000000000004,1.2925566614673984,-0.29255666146739845
3.6,1.2596059859913349,-0.2596059859913349
3.7,1.2220556503361861,-0.22205565033618613
3.8000000000000003,1.1778193485338326,-0.17781934853383263
3.9000000000000004,1.1181074421098696,-0.11810744210986956
4.0,1.0,0.0
4.1,1.0,0.0
4.2,1.0,0.0
4.3,1.0,0.0
4.3999999999999995,1.0,0.0
4.5,1.0,0.0
4.6,1.0,0.0
4.7,1.0,0.0
4.8,1.0,0.0
4.9,1.0,0.0
5.0,1.0,0.0
5.1,1.0,0.0
5.2,1.0,0.0
5.3,1.0,0.0
5.4,1.0,0.0
5.5,1.0,0.0
5.6,1.0,0.0
5.7,1.0,0.0
5.8,1.0,0.0
5.9,1.0,0.0
6.0,1.0,0.0
6.1,0.06307266071818536,0.9369273392818146
6.2,0.01825552504980271,0.9817444749501973
6.3,0.006619918283665174,0.9933800817163349
6.4,0.0026741347951455925,0.9973258652048544
6.5,0.0011516792394474585,0.9988483207605525
6.6,0.0005174687618588376,0.9994825312381411
6.7,0.00023958822023778731,0.9997604117797622
6.8,0.00011342465955935927,0.9998865753404407
6.9,5.462125300963388e-05,0.9999453787469904
7.0,2.666006169353286e-05,0.9999733399383065
7.1,1.3154170410934936e-05,0.9999868458295891
7.2,6.548101468135777e-06,0.9999934518985318
7.3,3.283796564406711e-06,0.9999967162034356
7.4,1.657032929662487e-06,0.9999983429670704
7.5,8.405644285423273e-07,0.9999991594355715
7.6,4.283459783939674e-07,0.9999995716540216
7.7,2.1914041479475908e-07,0.9999997808595852
7.8,1.1249035539316812e-07,0.9999998875096446
7.9,5.79222719052542e-08,0.9999999420777281
8.0,2.990446168196106e-08,0.9999999700955383
8.1,1.5473609218581942e-08,0.9999999845263908
8.2,8.024559178550605e-09,0.9999999919754409
8.3,4.1697630121171066e-09,0.999999995830237
8.4,2.1696873528565216e-09,0.9999999978303127
8.5,1.130933065224105e-09,0.999999998869067
8.6,5.905186795250204e-10,0.9999999994094814
8.7,3.0852174746731733e-10,0.9999999996914782
8.8,1.6139428414806964e-10,0.9999999998386058
8.9,8.460313854297887e-11,0.9999999999153969
9.0,4.434341177411099e-11,0.9999999999556566
9.1,2.3248429480062503e-11,0.9999999999767516
9.2,1.2226756182738632e-11,0.9999999999877732
9.3,6.429587514105837e-12,0.9999999999935704
9.4,3.3730694385909458e-12,0.9999999999966269
9.5,1.7774632125110254e-12,0.9999999999982225
9.6,9.396824485934112e-13,0.9999999999990603
9.700000000000001,4.926113148415201e-13,0.9999999999995074
9.8,2.5889278400937326e-13,0.9999999999997411
9.9,1.3837954512423195e-13,0.9999999999998617
10.0,7.26388066218349e-14,0.9999999999999274
